"Date","Repo","Reverse Repo"
"13/12/2022","0","9.67"
"09/12/2022","0","9.934"
"05/12/2022","0","9.6"
"28/11/2022","0","9.551"
"25/11/2022","0","9.92"
"21/11/2022","0","9.483"
"21/11/2022","0","9.483"
"16/11/2022","0","9.766"
"14/11/2022","0","9.738"
"11/11/2022","0","9.927"
"09/11/2022","0","9.797"
"08/11/2022","7.649","0"
"04/11/2022","0","9.78"
"02/11/2022","0","9.789"
"28/10/2022","0","9.86"
"26/10/2022","0","9.785"
"25/10/2022","0","9.764"
"21/10/2022","0","9.755"
"19/10/2022","0","9.778"
"13/10/2022","0","9.72"
"12/10/2022","0","9.828"
"06/10/2022","0","9.955"
"29/09/2022","0","9.74"
"22/09/2022","0","9.752"
"19/09/2022","0","9.726"
"16/09/2022","0","9.859"
"15/09/2022","0","9.511"
"08/09/2022","0","9.407"
"02/09/2022","0","0"
"01/09/2022","0","0"
"31/08/2022","0","0"
"30/08/2022","0","0"
"29/08/2022","0","0"
"26/08/2022","0","0"
"25/08/2022","0","9.313"
"25/08/2022","0","9.313"
"24/08/2022","0","0"
"23/08/2022","0","0"
"22/08/2022","0","0"
"19/08/2022","0","0"
"18/08/2022","0","9.305"
"18/08/2022","0","9.305"
"17/08/2022","0","0"
"16/08/2022","0","0"
"15/08/2022","0","0"
"12/08/2022","0","0"
"11/08/2022","0","9.1"
"11/08/2022","0","9.1"
"10/08/2022","0","0"
"08/08/2022","0","0"
"04/08/2022","0","0"
"04/08/2022","0","0"
"03/08/2022","0","0"
"01/08/2022","0","0"
"29/07/2022","0","8.578"
"28/07/2022","0","0"
"27/07/2022","0","0"
"27/07/2022","0","0"
"26/07/2022","0","0"
"25/07/2022","0","0"
"25/07/2022","0","0"
"22/07/2022","0","8.617"
"21/07/2022","0","8.57"
"20/07/2022","0","0"
"19/07/2022","0","0"
"18/07/2022","0","0"
"15/07/2022","0","0"
"14/07/2022","0","0"
"13/07/2022","7.057","0"
"12/07/2022","7.265","0"
"08/07/2022","7.307","0"
"07/07/2022","0","0"
"06/07/2022","7.3","0"
"05/07/2022","7.2","0"
"04/07/2022","0","0"
"01/07/2022","7.15","0"
"30/06/2022","0","0"
"29/06/2022","7.3","0"
"28/06/2022","7.3","0"
"27/06/2022","0","8.612"
"27/06/2022","0","8.612"
"24/06/2022","0","0"
"23/06/2022","0","0"
"22/06/2022","0","0"
"21/06/2022","0","0"
"20/06/2022","0","8.411"
"17/06/2022","6.81","0"
"15/06/2022","6.727","0"
"14/06/2022","0","0"
"13/06/2022","0","8.26"
"10/06/2022","6.857","0"
"09/06/2022","0","0"
"08/06/2022","0","0"
"07/06/2022","0","0"
"06/06/2022","6.421","0"
"03/06/2022","6.373","0"
"31/05/2022","6.38","0"
"28/05/2022","5","0"
"25/05/2022","0","7.75"
"24/05/2022","8.031","0"
"23/05/2022","7.867","0"
"19/05/2022","0","0"
"19/05/2022","0","0"
"18/05/2022","0","0"
"17/05/2022","0","8.8"
"16/05/2022","0","0"
"13/05/2022","0","0"
"12/05/2022","0","0"
"11/05/2022","0","0"
"10/05/2022","0","0"
"09/05/2022","0","0"
"06/05/2022","0","8.561"
"05/05/2022","0","0"
"04/05/2022","0","8.572"
"27/04/2022","0","0"
"26/04/2022","0","8.876"
"25/04/2022","0","8.375"
"22/04/2022","0","8.723"
"21/04/2022","0","0"
"20/04/2022","0","0"
"19/04/2022","0","8.896"
"14/04/2022","0","0"
"13/04/2022","0","0"
"12/04/2022","0","0"
"11/04/2022","0","8.803"
"08/04/2022","0","0"
"07/04/2022","0","0"
